,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
8759,"Grove Farm, Cow Lane - Anaerobic Digestion Facility",Acorn Bioenergy Limited,Anaerobic Digestion,Vale of White Horse,2022-12-15
8763,"Herbert Woods, Bridge Road - Solar Panels",Herbert Woods,Solar Photovoltaics,Great Yarmouth,2023-01-06
8773,"Pool Farm, Mill Lane, Stratton - Solar Farm",JBM Solar Projects Limited,Battery,Cherwell,2023-01-03
8774,"Headland Hotel, Headland Road - Solar Panels",The Headland Hotel,Solar Photovoltaics,Cornwall,2023-01-04
8787,Blackpole Trading Estate West - Biomass Boiler,Blackpole Recycling Limited,Biomass (dedicated),Worcester,2021-08-23
8798,"Omega Proteins Penrith, Processing Plant - Anaerobic Digestion Facility",Omega Proteins Limited,Anaerobic Digestion,Westmorland and Furness,2023-04-26
8809,Wull Muir Wind Farm,Energiekontor UK Limited,Battery,Scottish Borders,2022-12-16
8830,"Woofields Farm, Coddington - Anaerobic Digestion",Private Developer,Anaerobic Digestion,"Herefordshire, County of",2023-01-04
8834,"Long Lane, Stanwell - Battery Energy Storage",Harwood Project One Limited,Battery,Spelthorne,2023-01-17
8858,"Hoburne Naish, Glenside Naish Estate - Solar panels",Hoburne Naish Holiday Park,Solar Photovoltaics,New Forest,2023-01-23
8893,"Gravel Farm, Cleeve - Solar Farm",Relay Gravel Limited,Solar Photovoltaics,Forest of Dean,2023-01-26
8921,"Roman Bank, Middle Marsh - Solar Farm",AUK PE12 Limited,Solar Photovoltaics,South Holland,2023-02-07
8927,"Streatham Campus, Stocker Road - Solar Panels",University of Exeter,Solar Photovoltaics,Exeter,2023-02-07
8937,"Westfield Road, Carlton - Battery Storage",Firma Vogt Solar Limited,Battery,Leeds,2023-01-24
8977,Fairways Business Park - Battery Storage ,Inverness Caledonian Thistle Football Club,Battery,Highland,2023-02-17
8979,"Par Market, Par Moor Road - Solar Array",Par Market,Solar Photovoltaics,Cornwall,2023-02-17
9004,"Elstree Film And TV Studios, Shenley Road - Solar Panels And ASHPs",Hertsmere Borough Council,Solar Photovoltaics,Hertsmere,2022-02-24
9015,"Oatcroft Fram, Titley - Solar PV Array",Green Switch Capital Limited,Solar Photovoltaics,"Herefordshire, County of",2023-12-04
9020,"Registry Twyver House, Bruton Way - Solar Panels",Unknown,Solar Photovoltaics,Gloucester,2023-02-02
9050,"Park House Farm, Meriden Road - Solar Farm",Enviromena Asset Management UK Limited,Solar Photovoltaics,North Warwickshire,2023-02-24
9063,Golf Road - Battery Energy Storage,Cragside Energy Limited,Battery,Trafford,2023-06-02
9096,Akeman Solar Park & Battery Storage,British Solar Renewables,Solar Photovoltaics,West Oxfordshire,2023-11-06
9097,Akeman Solar Park & Battery Storage,British Solar Renewables,Battery,West Oxfordshire,2023-11-06
9098,Lentons Lane Solar Farm,Coventry City Council,Solar Photovoltaics,Coventry,2023-05-30
9108,Kirkton Barns Farm - Wind Turbine,Kirkton Barns Farm,Wind Onshore,Fife,2023-09-26
9116,"Plummers Road, Fordham - Solar Array",Arbora Homes,Solar Photovoltaics,Colchester,2023-03-20
9134,"Lower Farm, Drointon Lane - Solar farm & Battery Energy Storage",Novus Renewable Services,Solar Photovoltaics,Stafford,2023-03-17
9135,"Lower Farm, Drointon Lane - Solar farm & Battery Energy Storage",Novus Renewable Services,Battery,Stafford,2023-03-17
9151,"University Of Buckingham Campus, Energy Storage System",AMP Energy Services Limited,Battery,Buckinghamshire,2023-03-24
9163,"Loxley Waste Water Treatment Work,Storrs Bridge Lane - Solar Panels",Downing Renewable Developments,Solar Photovoltaics,Sheffield,2023-06-06
9167,"Side Barn, Church Lane - Solar Farm",PS Renewables Limited,Solar Photovoltaics,South Kesteven,2024-04-04
9177,Newton Of Pitfodels - Battery Storage ,Flexion Energy Uk Storage,Battery,Aberdeen City,2024-05-20
9185,"Levedale Road, Levedale - Battery Energy Storage",Anglo Renewables Limited,Battery,South Staffordshire,2023-03-21
9203,"Earthcott Green Farm, Earthcott Green - Battery Energy Storage",Immersa Limited,Battery,South Gloucestershire,2023-03-31
9215,"Hazel Court, Sketty Park - Solar Panels ",Caredig Housing Association,Solar Photovoltaics,Swansea,2023-04-05
9221,20 Evish Road - Wind Turbine,AGH Energy Limited,Wind Onshore,Derry City and Strabane,2023-01-23
9225,"14 Stone Rd, Victoria Bridge - Wind Turbine",Cladyhill Wind Limited,Wind Onshore,Derry City and Strabane,2023-01-03
9229,Southlands Solar Farm & Battery Storage,Enso Green Holdings Limited / Cero Generation,Solar Photovoltaics,Chelmsford,2023-04-06
9230,Southlands Solar Farm & Battery Storage,Enso Green Holdings Limited / Cero Generation,Battery,Chelmsford,2023-04-06
9243,Siemens Road - Solar Panels,Heatsource Direct Limited,Solar Photovoltaics,Greenwich,2023-04-12
9253,"Swan Road, Westminster Industrial Estate - Solar Panels",Heatsource Direct Limited,Solar Photovoltaics,Greenwich,2023-04-12
9265,"Thornlands Farm, Fletchwood Road - Solar Farm",Enviromena Asset Management UK Limited,Solar Photovoltaics,New Forest,2024-02-29
9330,"Chelmsford Road, Rawreth - Solar Farm & Battery Storage",Enso Green Holdings J Limited,Solar Photovoltaics,Rochford,2023-03-29
9331,"Chelmsford Road, Rawreth - Solar Farm & Battery Storage",Enso Green Holdings J Limited,Battery,Rochford,2023-03-29
9342,"Arthur Rickwood Farm, Chatteris Road - Solar Panels","Monkfield Nutrition",Solar Photovoltaics,East Cambridgeshire,2023-04-25
9346,"John Guest Speedfit Limited, Oldfield Road - Solar Panels",Reliance Worldwide Corporation (UK) Limited,Solar Photovoltaics,Windsor and Maidenhead,2023-04-27
9349,"St Julians, St Julians Road - Solar Panels",Rumshott Estate limited,Solar Photovoltaics,Sevenoaks,2023-05-04
9351,"Sainsburys Supermarkets, Station Road - Solar Panels", J Sainsbury Plc ,Solar Photovoltaics,Maidstone,2023-05-02
9358,Beech Tree Solar Farm, Low Carbon UK Solar Investment Co Limited,Solar Photovoltaics,Wiltshire,2023-11-29
9359,"Landulph Substation, Landulph - Battery Storage",NZED Projectco 2 Limited,Battery,Cornwall,2024-01-10
9457,Power Generation Development in Templepatrick,Private Developer,Wind Onshore,Antrim and Newtownabbey,2023-02-01
9472,"Pound Road, Hawkchurch - Battery Energy Storage System",Enso Energy Limited,Battery,East Devon,2023-05-25
9505,"Yorkshire Water Naburn, Naburn Lane - Ground Mounted Solar Array",Downing Energy Development Company Limited,Solar Photovoltaics,York,2023-05-25
9509,"Work Farm, Work Road - 1.8MW Wind Turbines",Birsay Energy Limited,Wind Onshore,Orkney Islands,2023-05-24
9514,Illeybrook Farm - Battery Energy Storage,Net Zero Eleven Limited,Battery,Dudley,2023-07-24
9522,Chimmens Solar Farm,RES Limited,Solar Photovoltaics,Sevenoaks,2023-12-19
9527,"Haslemere Industrial Estate, Pig Lane - Solar Panels",Stagecoach Group Plc,Solar Photovoltaics,East Hertfordshire,2023-06-01
9549,David Lloyd Leisure - Solar Panels,David Lloyd Leisure Limited,Solar Photovoltaics,"Bournemouth, Christchurch and Poole",2023-06-01
9558,"85 Deerfin Road, Ballymena - Wind Turbine",Mc Larnon Roofing Limited,Wind Onshore,Mid and East Antrim,2023-04-13
9580,"Haven Rockley Holiday Park, Napier Road - Solar Panels",Bourne Leisure Group,Solar Photovoltaics,"Bournemouth, Christchurch and Poole",2023-06-08
9613,"David Lloyd Leisure, Ducks Hill Road - Solar Panels",David Lloyd Leisure Limited,Solar Photovoltaics,Hillingdon,2023-06-09
9656,"Sawley Hall, Sawley - Solar Pv Array",Sawley Estate,Solar Photovoltaics,North Yorkshire,2023-06-26
9659,"Marelli, Home Furniture Shop - Solar Panels",Marelli,Solar Photovoltaics,Sunderland,2023-06-26
9672,Burcot Farm Battery Storage,Burcot Solar Farm Limited,Battery,South Oxfordshire,2023-06-23
9724,"Seath Road, Rutherglen - Battery Storage",Green Power Consultants,Battery,South Lanarkshire,2023-09-21
9738,West Boldon Substation - Battery Energy Storage,Whirlwind Energy Storage Limited,Battery,South Tyneside,2023-07-17
9768,"Parkwood Academy, Longley Avenue West - Solar Panels",E-ACT,Solar Photovoltaics,Sheffield,2023-07-05
9804,Hillend Of Lownie - Forfar Solar farm,Industria Resources Llp,Battery,Angus,2023-06-05
9819,"Newton Lane, Ledston - Battery Storage Facility",Harmony LS Limited,Battery,Leeds,2023-07-25
9856,"Aggregate Industries, Grovebury Road - Solar Panels",Aggregate Industries UK Limited,Solar Photovoltaics,Central Bedfordshire,2023-07-20
9872,"Icon Harlow, Gsk Third Avenue - Solar Photovoltaic Panels",FRELIF (Harlow),Solar Photovoltaics,Harlow,2023-07-21
9883,"Hempton Poultry Sheds, Hempton Road - Solar PV Array",Private Developer,Solar Photovoltaics,North Norfolk,2023-07-25
9941,"Pen Y Bryn Farm, Pen Y Bryn - Wind Turbine",Constantine Wind Energy Limited,Wind Onshore,Conwy,2023-08-15
9947,"Marsh Farm, Fobbing - Solar Arrays & Battery Storage",Rayleigh Green Limited,Solar Photovoltaics,Thurrock,2023-07-07
9948,"Marsh Farm, Fobbing - Solar Arrays & Battery Storage",Rayleigh Green Limited,Battery,Thurrock,2023-07-07
9987,"PPG Letter, Needham Road - Solar Pv Panels","PPG Industries",Solar Photovoltaics,Mid Suffolk,2023-08-23
9989,"Lower Silton, Fantley Lane - Solar Panels",Sungift Solar Limited,Solar Photovoltaics,Dorset,2023-08-25
9996,"Coupar Angus Substation, Pleasance Road - Solar Farm",Coupar Two Limited,Solar Photovoltaics,Perth and Kinross,2023-08-18
10031,"Croxby Hall Farm, Inglemire Lane - Solar Farm & Battery Storage",UOH Energy Co Limited,Solar Photovoltaics,East Riding of Yorkshire,2023-08-25
10032,"Croxby Hall Farm, Inglemire Lane - Solar Farm & Battery Storage",UOH Energy Co Limited,Battery,East Riding of Yorkshire,2023-08-25
10033,Snuff Mill Lane Gates - Solar Farm & Battery Storage,UOH Energy Co Limited,Solar Photovoltaics,East Riding of Yorkshire,2023-08-25
10034,Snuff Mill Lane Gates - Solar Farm & Battery Storage,UOH Energy Co Limited,Battery,East Riding of Yorkshire,2023-08-25
10038,"Lower Ellenden Farm, Water Lane - Solar Panels ",RNA Energy Limited,Solar Photovoltaics,Tunbridge Wells,2023-08-30
10039,"Lower Ellenden Farm, Water Lane - Battery Storage",RNA Energy Limited,Battery,Tunbridge Wells,2023-08-30
10058,Wallerscote Limebeds - Solar Pv Park,Infinis Solar Developments Limited / Green Earth Developments,Solar Photovoltaics,Cheshire West and Chester,2023-09-01
10059,Wallerscote Limebeds - Battery Energy Storage,Infinis Solar Developments Limited / Green Earth Developments,Battery,Cheshire West and Chester,2023-09-01
10068,"New Alderley House, Hope Drive - Solar PV System",Primary Health Properties Limited,Solar Photovoltaics,Cheshire East,2023-09-06
10076,"South Causey Inn, Causey Road - Solar PV Panels",South Causey Hotel,Solar Photovoltaics,County Durham,2023-09-08
10084,"Kent Street, Cowfold - Battery Energy Storage System",Enso Energy / Bolney Green Energy Hub,Battery,Horsham,2024-01-26
10100,Ashley Garage - Solar PV Array ,Ashley Garage Limited,Solar Photovoltaics,Wiltshire,2023-09-11
10101,Ashley Garage - Solar PV Array ,Ashley Garage Limited,Battery,Wiltshire,2023-09-11
10106,"Warren Lane, Bramham - Battery Energy Storage",Harmony Energy Limited,Battery,Leeds,2023-09-19
10142,Buildwas Bank - Battery Energy Storage,Lower Coalmoor BESS Limited,Battery,Telford and Wrekin,2023-09-22
10168,"Dobbies Garden Centres, Bath Road - Solar PV System",Dobbies Garden Centre Gloucester,Solar Photovoltaics,Stroud,2023-10-05
10182,"Galleymead House, Old Bath Road - Battery Storage",Power & Energy Fields Limited             ,Battery,Slough,2023-10-03
10194,"Linton Mill, Wintringham - Biomass Boiler",T Mason Services Limited,Biomass (dedicated),North Yorkshire,2023-10-16
10227,Tanners Lane - Battery Energy Storage System,Tag Energy Development UK Limited,Battery,Solihull,2023-10-02
10248,"Old Warden Park, Old Warden - Solar PV",The Richard Shuttleworth Remembrance Trust,Solar Photovoltaics,Central Bedfordshire,2023-10-26
10269,"D Strasdin Joinery, Trostre Industrial Park - 2 Biomass Boilers",C Thomas,Biomass (dedicated),Carmarthenshire,2023-10-02
10317,Headstone Lane - Solar Panels,MK Build Limited,Solar Photovoltaics,Harrow,2023-10-02
10335,"Harbour club, Watermeadow Lane - Solar Panels",Custom Solar Limited,Solar Photovoltaics,Hammersmith and Fulham,2023-11-20
10341,The Mcindoe Centre - Solar Panels,Horder Healthcare,Solar Photovoltaics,Mid Sussex,2023-11-15
10350,"Westfield Road, Carlton - Battery Storage",Firma Vogt Solar Limited,Battery,Leeds,2023-11-07
10387,Rushett Lane - Battery Storage System,Enso Energy,Battery,Epsom and Ewell,2024-04-16
10390,"D W Windsor, Pindar Road - Solar Panels",Webster Estates Limited,Solar Photovoltaics,Broxbourne,2023-12-05
10392,"Litton Energy, Unit 12B - Solar Panels",Litton Properties Limited,Solar Photovoltaics,Derbyshire Dales,2023-11-28
10411,Burcot Solar Farm,Ethical Power,Solar Photovoltaics,South Oxfordshire,2023-12-04
10412,Burcot Solar Farm,Ethical Power,Battery,South Oxfordshire,2023-12-04
10415,Manchester Marriott Victoria And Albert Hotel - Solar Panels,Marriott Hotels,Solar Photovoltaics,Manchester,2023-12-01
10423,Salcey Green Farm - Solar Panels,Salcey Green Farm,Solar Photovoltaics,Milton Keynes,2024-04-17
10448,North Moss Lane - Solar Photovoltaic Farm,Taiyo Power & Storage Limited,Solar Photovoltaics,Sefton,2023-11-30
10516,"Ymca And Castlefield Hotel, Liverpool Road - Solar Panels",Manchester YMCA & Castlefield Hotel,Solar Photovoltaics,Manchester,2023-12-20
10521,"West Chevington Farm, West Chevington - Solar PV Panels",Genesis One Limited,Solar Photovoltaics,Northumberland,2023-12-19
10522,"West Chevington Farm, West Chevington - Battery Storage",Genesis One Limited,Battery,Northumberland,2023-12-19
10523,"Summerton Farm, Sageston - Wind Turbine",Constantine Wind Energy Limited,Wind Onshore,Pembrokeshire,2023-11-30
10534,Chimmens Solar Farm,RES Limited,Battery,Sevenoaks,2023-12-19
10543,"Herrod Avenue, South Reddish - Battery Energy Storage",Infra Balance New Energy Limited,Battery,Stockport,2023-12-07
10547,"Morrisons, Lysander Road - Solar Panels",Gondola Pro,Solar Photovoltaics,Somerset,2024-01-09
10550,Stanhope Road - Solar Panels,Electron Green,Solar Photovoltaics,Surrey Heath,2024-01-11
10561,"Nizels Golf Club, Nizels Lane - Solar Panels",The Club Company,Solar Photovoltaics,Tonbridge and Malling,2024-01-04
10574,"Kings Oak Primary School, Oak Road - Solar Array",Bedford Borough Council,Solar Photovoltaics,Bedford,2024-01-12
10586,"Somerby Farm, Lochussie - Wind turbine",Constantine Wind Energy Ltd,Wind Onshore,Highland,2024-01-13
10592,Ayton Mains Farmhouse - Wind Turbines,Constantine Group Limited,Wind Onshore,Scottish Borders,2024-01-03
10598,"Deptford Farm, Ebberley Hill - Solar Farm",Elgin Energy ES Co Limited,Solar Photovoltaics,Torridge,2023-12-21
10599,"Deptford Farm, Ebberley Hill - Battery Storage",Elgin Energy ES Co Limited,Battery,Torridge,2023-12-21
10614,Staddon Lane - Micro Energy Storage Facility,AMP Energy Services Limited,Battery,Plymouth,2024-01-05
10627,Chertsey Road - Solar PV Panels,Currie Motors Limited,Solar Photovoltaics,Richmond upon Thames,2024-01-29
10656,Winslade Park - Solar Array,Burrington Estates (New Homes Thrive Hubs),Solar Photovoltaics,East Devon,2024-01-17
10669,Sunbury Battery Energy Storage System - Battery Energy Storage System,EcoDev Group Limited,Battery,Spelthorne,2024-01-04
10681,"Eagle Two, Hatchford Way - Solar Panels",Regional REIT,Solar Photovoltaics,Birmingham,2024-02-05
10705,"Farleigh School, Stockbridge Road - Solar Panels",Farleigh School,Solar Photovoltaics,Test Valley,2024-02-14
10730,"Endoline Machinery Limited, Stratton Business Park - Solar Panels",Abrdn,Solar Photovoltaics,Central Bedfordshire,2024-02-17
10740,"The Warwickshire Golf and Country Club, Warwick Road - Solar Panels",The Club Company,Solar Photovoltaics,Warwick,2024-02-22
10741,"Burghfield Road, Southcote -  Battery Storage Facility",Renepower Energy Limited,Battery,Reading,2023-09-27
10776,"Wareham Road, Scouse Farm - Battery Storage",Ylem Energy Limited,Battery,East Devon,2024-02-16
10784,"Dyche Lane, Batemoor - Battery Energy Storage System",Ylem Energy Limited,Battery,North East Derbyshire,2024-02-05
10826,"Zains Superstore, Legrams Lane - Battery Storage Facility",Comcat Limited,Battery,Bradford,2024-02-27
10831,"Brick Kiln Farm, Sandy Hill - Solar Array",Retreat East Limited,Solar Photovoltaics,Mid Suffolk,2024-02-20
10861,"Leadenham Poultry Unit, Sleaford Road - Solar Panels",Sutherland Farms Limited,Solar Photovoltaics,North Kesteven,2024-03-06
10864,"Nythe Road, Pedwell - Solar Photovoltaic Park",Elgin Energy Services Limited,Solar Photovoltaics,Somerset,2024-02-28
10866,"Oakwood Business Park, Golden Cross - Solar Panels",Challenge Packaging Limited,Solar Photovoltaics,Wealden,2024-03-13
10871,"Barnwell, Wright Street - Battery Energy Storage",P3P Partners Llp,Battery,Renfrewshire,2024-02-27
10885,Haughmond Quarry -  Uffington Solar Farm,Opdenergy UK 10 Limited,Solar Photovoltaics,Shropshire,2024-03-14
10909,"High View Road, South Normanton - Battery Energy Storage Unit",Mercia Power Response Limited,Battery,Bolsover,2024-03-20
10918,"DTC St Helens Hospital, Marshalls Cross Road - Solar Panels",St Helens Hospital,Solar Photovoltaics,St. Helens,2024-03-28
10933,"Brioche Pasquier, Garamonde Drive - Solar Panels",Brioche Pasquier,Solar Photovoltaics,Milton Keynes,2024-03-21
10938,"Town Farm, Blackawton - Battery Storage System",Aldustria Energy Storage,Battery,South Hams,2024-04-03
10959,"Winterburn Hydro, Winterburn Reservoir - Hydro Electric Station",H2O Power Generation Limited,Small Hydro,North Yorkshire,2024-04-17
10960,"New Balance Athletic Shoes, Flimby To Maryport - Wind Turbine",New Balance Athletic Shoes UK Ltd,Wind Onshore,Cumberland,2024-03-18
10992,"Rishworth School, Oldham Road - Solar Panels",Eden Sustainable Limited,Solar Photovoltaics,Calderdale,2024-04-25
11042,Stanhope Road - Solar Panels,Electron Green,Solar Photovoltaics,Surrey Heath,2024-05-13
11046,"Moat Barn, Moat Lane - Solar Panels",Private Developer,Solar Photovoltaics,Rotherham,2024-04-29
11052,"Wild Fowl Farm, Carrington Lane - Battery Storage Facility",O&G Solar (SPV 56) Ltd,Battery,Trafford,2024-05-01
11053,"St Johns Beaumont School, Priest Hill - Solar Panels",St Johns Beaumont School,Solar Photovoltaics,Runnymede,2024-05-07
11055,"Wagglehill, Cuminestown - Wind Turbine",Harpers Transport,Wind Onshore,Aberdeenshire,2024-04-26
11072,Salthouse Road - Roof Mounted Solar Photovoltaics,Logicor Europe Limited,Solar Photovoltaics,West Northamptonshire,2024-05-15
11085,"Henwood Lane, Catherine De Barnes - Battery Storage Facility",ARL016,Battery,Solihull,2023-09-18
11108,"Spire Gatwick Park Hospital, Povey Cross Road - Solar Panels",Spire Gatwick Park Hospital,Solar Photovoltaics,Mole Valley,2024-06-03
11126,"Prologis Park, Unit B - Solar Panels",Redcentric,Solar Photovoltaics,Hounslow,2024-05-21
11129,"Electricity Sub Station, Babbage Way - Micro Energy Storage Facility",AMP Energy Services Limited,Battery,East Devon,2024-06-10
11158,"Berllandeg Farm, Rhoswiel -  Solar Panels",Private Developer,Solar Photovoltaics,Shropshire,2024-05-24
11161,Sacketts Hill Farm - Battery Energy Storage System,Greenfield Limited,Battery,Thanet,2024-05-30
11166,Stoneworthy - Battery Energy Storage System,RES Limited,Battery,Torridge,2024-06-03
11200,"King James I Academy, South Church Road - Solar Panels",Solar Options for Schools Limited,Solar Photovoltaics,County Durham,2024-06-17
11208,"Castleford Wastewater Treatment Works, Wheldon Road - Solar Array",Downing Energy Development Company Limited,Solar Photovoltaics,Wakefield,2024-07-04
11222,"Hertford Industrial Estate, Caxton Hill - Solar Panels",Marbank Construction Limited,Solar Photovoltaics,East Hertfordshire,2024-06-25
11252,Old Teignmouth Road - Micro Energy Storage Facility,AMP Energy Services Limited,Battery,Teignbridge,2024-07-05
11261,"Totnes Road, Ipplepen - Micro Energy Storage Facility",Aggregated Micro Power Holdings Plc,Battery,Teignbridge,2024-07-05
11262,The Barton - Energy Storage Facility,Aggregated Micro Power Holdings Plc,Battery,West Devon,2024-07-09
11285,"Dewsbury Sewage, Clough Lane - Solar Panels",Downing Renewables,Solar Photovoltaics,Wakefield,2024-07-04
11311,"Yeading Infant School, Carlyon Road - Solar PV Systems",Solar Options for Schools,Solar Photovoltaics,Hillingdon,2024-07-15
11312,Wisbech St Mary Sports & Community Centre - Energy Storage Facility,AMP Clean Energy,Battery,Fenland,2024-07-23
11323,"Wilford Bridge Road, Station Road - Micro Energy Storage Unit",Aggregated Micro Power Holdings Plc,Battery,East Suffolk,2024-07-09
11324,"Bliney Road, Grove Road -  Micro Energy Storage",Aggregated Micro Power Holdings Plc,Battery,East Suffolk,2024-07-09
11327,"Wilford Bridge Road, Station Road - Micro Energy Storage Unit",Aggregated Micro Power Holdings Plc,Battery,East Suffolk,2024-07-09
11328,"Bliney Road, Grove Road - Micro Energy Storage",Aggregated Micro Power Holdings Plc,Battery,East Suffolk,2024-07-09
11333,"J S T Uk, Blyth Road -Micro Energy Storage Facility",AMP Clean Energy,Battery,East Suffolk,2024-07-18
11338,"Beccles Road, Carlton Colville - Micro Energy Storage Unit",AMP Energy Services Limited,Battery,East Suffolk,2024-07-18
11430,"Hodgetts Lane, Berkswell - Electricity Storage Facility",Coventry Energy Storage Limited,Battery,Solihull,2024-07-02
